TALHAO;AREA_TALHAO;ESPAC;PARCELA;AREA_PARCELA;COVA;DAP;HT;OBS;hd_not;ht_est_not;AS;IDADE;vcc_est_not;vsc_est_not
2;45;3x3;2;810;88;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;89;13;NA;N;23,76;22,37553002;0,013273229;66,1;0,145774231;0,127062352
2;45;3x3;2;810;90;16;NA;N;23,76;24,25557959;0,020106193;66,1;0,233286404;0,20490592
2;45;3x3;3;810;1;13;20,9;N;20,7;20,9;0,013273229;63,1;0,137317651;0,119981655
2;45;3x3;3;810;2;14;20,3;N;20,7;20,3;0,015393804;63,1;0,154373443;0,135532274
2;45;3x3;3;810;3;13;21;N;20,7;21;0,013273229;63,1;0,137893056;0,120463991
2;45;3x3;3;810;4;13;19,7;N;20,7;19,7;0,013273229;63,1;0,130385614;0,114164299
2;45;3x3;3;810;5;11,5;18,9;N;20,7;18,9;0,010386891;63,1;0,09931264;0,086545446
2;45;3x3;3;810;6;12;19,4;N;20,7;19,4;0,011309734;63,1;0,110281752;0,096222798
2;45;3x3;3;810;7;13,5;20,5;N;20,7;20,5;0,014313882;63,1;0,145181736;0,127183228
2;45;3x3;3;810;8;13;19,5;N;20,7;19,5;0,013273229;63,1;0,129225261;0,113189324
2;45;3x3;3;810;9;9;17,2;N;20,7;17,2;0,006361725;63,1;0,057056989;0,049272362
2;45;3x3;3;810;10;13;19,4;N;20,7;19,4;0,013273229;63,1;0,128644532;0,112701239
2;45;3x3;3;810;11;12;18,9;N;20,7;18,9;0,011309734;63,1;0,107787764;0,094134014
2;45;3x3;3;810;12;12;19,3;N;20,7;19,3;0,011309734;63,1;0,109783598;0,095805735
2;45;3x3;3;810;13;12;20;N;20,7;20;0,011309734;63,1;0,113264056;0,09871805
2;45;3x3;3;810;14;11,5;20;N;20,7;20;0,010386891;63,1;0,104358344;0,090759942
2;45;3x3;3;810;15;12,5;20,1;N;20,7;20,1;0,012271846;63,1;0,123055932;0,107455642
2;45;3x3;3;810;16;13,5;NA;N;20,7;20,7523377;0,014313882;63,1;0,146746082;0,128497788
2;45;3x3;3;810;17;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;18;13,5;NA;N;20,7;20,7523377;0,014313882;63,1;0,146746082;0,128497788
2;45;3x3;3;810;19;12,5;NA;N;20,7;20,07571551;0,012271846;63,1;0,122925678;0,107346511
2;45;3x3;3;810;20;14,5;NA;N;20,7;21,3539079;0,016512996;63,1;0,172644642;0,151570748
2;45;3x3;3;810;21;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;22;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
2;45;3x3;3;810;23;13,5;NA;N;20,7;20,7523377;0,014313882;63,1;0,146746082;0,128497788
2;45;3x3;3;810;24;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;25;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;26;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;27;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
2;45;3x3;3;810;28;11,5;NA;N;20,7;19,30951601;0,010386891;63,1;0,101195236;0,088118904
2;45;3x3;3;810;29;12,5;NA;N;20,7;20,07571551;0,012271846;63,1;0,122925678;0,107346511
2;45;3x3;3;810;30;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;31;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;32;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
2;45;3x3;3;810;33;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;34;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;35;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
2;45;3x3;3;810;36;13,5;NA;N;20,7;20,7523377;0,014313882;63,1;0,146746082;0,128497788
2;45;3x3;3;810;37;13,5;NA;N;20,7;20,7523377;0,014313882;63,1;0,146746082;0,128497788
2;45;3x3;3;810;38;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;39;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;40;12,5;NA;N;20,7;20,07571551;0,012271846;63,1;0,122925678;0,107346511
2;45;3x3;3;810;41;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;42;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;43;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;44;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;45;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;46;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;47;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;48;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;49;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;50;11;NA;N;20,7;18,88727561;0,009503318;63,1;0,091117583;0,079226992
2;45;3x3;3;810;51;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
2;45;3x3;3;810;52;11,5;NA;N;20,7;19,30951601;0,010386891;63,1;0,101195236;0,088118904
2;45;3x3;3;810;53;10,5;NA;N;20,7;18,43540844;0,008659015;63,1;0,081567069;0,070816543
2;45;3x3;3;810;54;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;55;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
2;45;3x3;3;810;56;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;58;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
2;45;3x3;3;810;59;13,5;NA;N;20,7;20,7523377;0,014313882;63,1;0,146746082;0,128497788
2;45;3x3;3;810;60;13,5;NA;N;20,7;20,7523377;0,014313882;63,1;0,146746082;0,128497788
2;45;3x3;3;810;61;11,5;NA;N;20,7;19,30951601;0,010386891;63,1;0,101195236;0,088118904
2;45;3x3;3;810;62;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;63;13,5;20,3;D;20,7;20,3;0,014313882;63,1;0,143940158;0,12613949
2;45;3x3;3;810;64;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;65;11,5;NA;N;20,7;19,30951601;0,010386891;63,1;0,101195236;0,088118904
2;45;3x3;3;810;66;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;67;13,5;NA;N;20,7;20,7523377;0,014313882;63,1;0,146746082;0,128497788
2;45;3x3;3;810;68;12,5;NA;N;20,7;20,07571551;0,012271846;63,1;0,122925678;0,107346511
2;45;3x3;3;810;69;12;NA;N;20,7;19,70485695;0,011309734;63,1;0,111798453;0,097492138
2;45;3x3;3;810;70;11;NA;N;20,7;18,88727561;0,009503318;63,1;0,091117583;0,079226992
2;45;3x3;3;810;71;13;20,5;D;20,7;20,5;0,013273229;63,1;0,135012596;0,118048608
2;45;3x3;3;810;72;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
2;45;3x3;3;810;73;13,5;21,3;D;20,7;21,3;0,014313882;63,1;0,150133205;0,131342134
2;45;3x3;3;810;74;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;75;13;NA;N;20,7;20,4242386;0,013273229;63,1;0,134575386;0,117681808
2;45;3x3;3;810;76;14;NA;N;20,7;21,06171874;0,015393804;63,1;0,159436309;0,139794192
